iter	Passed	Remaining
742	1063	367
743	1064	366
744	1065	364
745	1066	363
746	1068	361
747	1069	360
748	1072	359
749	1074	358
750	1075	356
751	1077	355
752	1078	353
753	1079	352
754	1080	350
755	1081	349
756	1083	347
757	1084	346
758	1085	344
759	1088	343
760	1089	342
761	1090	340
762	1095	340
763	1096	338
764	1097	337
765	1099	335
766	1100	334
767	1105	333
768	1107	332
769	1108	331
770	1116	331
771	1118	330
772	1120	329
773	1121	327
774	1122	326
775	1124	324
776	1125	322
777	1126	321
778	1128	320
779	1130	318
780	1135	318
781	1137	316
782	1138	315
783	1140	314
784	1141	312
785	1142	311
786	1143	309
787	1144	307
788	1145	306
789	1148	305
790	1150	303
791	1151	302
792	1154	301
793	1155	299
794	1156	298
795	1158	296
796	1159	295
797	1160	293
798	1164	292
799	1165	291
800	1166	289
801	1167	288
802	1169	286
803	1170	285
804	1171	283
805	1173	282
806	1176	281
807	1178	280
808	1179	278
809	1180	277
810	1181	275
811	1182	273
812	1183	272
813	1184	270
814	1185	269
815	1186	267
816	1187	266
817	1188	264
818	1189	262
819	1192	261
820	1193	260
821	1194	258
822	1195	257
823	1196	255
824	1197	254
825	1198	252
826	1199	250
827	1200	249
828	1201	247
829	1202	246
830	1205	245
831	1206	243
832	1207	242
833	1209	240
834	1210	239
835	1211	237
836	1213	236
837	1214	234
838	1215	233
839	1217	231
840	1221	230
841	1222	229
842	1223	227
843	1224	226
844	1225	224
845	1226	223
846	1227	221
847	1229	220
848	1230	218
849	1231	217
850	1232	215
851	1234	214
852	1236	213
853	1237	211
854	1238	210
855	1239	208
856	1240	207
857	1241	205
858	1242	203
859	1243	202
860	1244	200
861	1245	199
862	1246	197
863	1247	196
864	1249	195
865	1250	193
866	1251	192
867	1252	190
868	1253	188
869	1254	187
870	1255	185
871	1256	184
872	1257	182
873	1258	181
874	1258	179
875	1259	178
876	1260	176
877	1261	175
878	1262	173
879	1265	172
880	1266	171
881	1267	169
882	1267	168
883	1268	166
884	1269	164
885	1270	163
886	1271	161
887	1272	160
888	1273	158
889	1274	157
890	1275	156
891	1277	154
892	1279	153
893	1280	151
894	1281	150
895	1282	148
896	1283	147
897	1284	145
898	1285	144
899	1285	142
900	1286	141
901	1287	139
902	1288	138
903	1290	137
904	1291	135
905	1294	134
906	1296	132
907	1297	131
908	1300	130
909	1302	128
910	1303	127
911	1304	125
912	1305	124
913	1306	122
914	1307	121
915	1312	120
916	1313	118
917	1314	117
918	1316	116
919	1317	114
920	1318	113
921	1319	111
922	1320	110
923	1321	108
924	1322	107
925	1325	105
926	1326	104
927	1327	103
928	1328	101
929	1329	100
930	1330	98
931	1331	97
932	1333	95
933	1334	94
934	1335	92
935	1336	91
936	1337	89
937	1340	88
938	1341	87
939	1342	85
940	1343	84
941	1345	82
942	1346	81
943	1347	79
944	1349	78
945	1350	77
946	1351	75
947	1352	74
948	1355	72
949	1356	71
950	1357	69
951	1359	68
952	1360	67
953	1361	65
954	1362	64
955	1363	62
956	1364	61
957	1365	59
958	1366	58
959	1369	57
960	1371	55
961	1377	54
962	1378	52
963	1379	51
964	1380	50
965	1381	48
966	1384	47
967	1386	45
968	1387	44
969	1390	43
970	1391	41
971	1393	40
972	1394	38
973	1395	37
974	1396	35
975	1398	34
976	1400	32
977	1401	31
978	1402	30
979	1405	28
980	1406	27
981	1407	25
982	1408	24
983	1409	22
984	1410	21
985	1413	20
986	1414	18
987	1415	17
988	1417	15
989	1418	14
990	1419	12
991	1420	11
992	1421	10
993	1422	8
994	1423	7
995	1424	5
996	1425	4
997	1429	2
998	1430	1
999	1431	0
